"","Location","Music","Price","Sales","Income","Cost","Profit"
"1","Park","Alternative",28,64,1792,1248,544
"2","Business","Alternative",35,17,595,919,-324
"3","Business","Alternative",35,22,770,954,-184
"4","Park","HipHop",32,30,960,1010,-50
"5","Park","HipHop",35,27,945,989,-44
"6","Business","HipHop",32,27,864,989,-125
"7","Business","Alternative",32,30,960,1010,-50
"8","Park","Alternative",32,38,1216,1066,150
"9","Business","Alternative",32,29,928,1003,-75
"10","Park","HipHop",32,56,1792,1192,600
"11","Business","HipHop",35,29,1015,1003,12
"12","Park","Alternative",32,58,1856,1206,650
"13","Park","Alternative",35,24,840,968,-128
"14","Business","HipHop",35,32,1120,1024,96
"15","Park","HipHop",35,32,1120,1024,96
"16","Business","HipHop",32,35,1120,1045,75
"17","Park","Alternative",32,46,1472,1122,350
"18","Business","Alternative",35,21,735,947,-212
"19","Park","HipHop",32,37,1184,1059,125
"20","Business","Alternative",32,37,1184,1059,125
"21","Park","Alternative",35,32,1120,1024,96
"22","Park","Alternative",35,41,1435,1087,348
"23","Business","HipHop",32,34,1088,1038,50
"24","Business","HipHop",35,26,910,982,-72
"25","Park","HipHop",35,26,910,982,-72
"26","Business","Alternative",35,26,910,982,-72
"27","Business","Alternative",35,36,1260,1052,208
"28","Business","Alternative",35,22,770,954,-184
"29","Business","Alternative",35,25,875,975,-100
"30","Business","Alternative",35,16,560,912,-352
"31","Business","Alternative",35,5,175,835,-660
"32","Business","Alternative",28,46,1288,1122,166
"33","Business","Alternative",28,47,1316,1129,187
"34","Business","Alternative",28,50,1400,1150,250
"35","Zoo","Alternative",32,2,64,814,-750
"36","Zoo","Alternative",28,22,616,954,-338
"37","CityHall","Alternative",32,21,672,947,-275
"38","Park","Alternative",32,40,1280,1080,200
"39","Business","Alternative",28,49,1372,1143,229
"40","Business","Alternative",32,22,704,954,-250
"41","CityHall","Alternative",28,37,1036,1059,-23
"42","Park","Alternative",28,58,1624,1206,418
"43","CityHall","HipHop",32,42,1344,1094,250
"44","CityHall","HipHop",32,24,768,968,-200
"45","CityHall","HipHop",32,26,832,982,-150
"46","CityHall","HipHop",32,44,1408,1108,300
"47","CityHall","HipHop",32,28,896,996,-100
"48","CityHall","HipHop",32,30,960,1010,-50
"49","CityHall","HipHop",32,40,1280,1080,200
"50","CityHall","HipHop",32,36,1152,1052,100
"51","CityHall","HipHop",32,28,896,996,-100
"52","CityHall","HipHop",32,28,896,996,-100
"53","CityHall","HipHop",32,24,768,968,-200
"54","CityHall","HipHop",32,23,736,961,-225
"55","CityHall","HipHop",32,30,960,1010,-50
"56","CityHall","HipHop",32,18,576,926,-350
"57","CityHall","HipHop",32,40,1280,1080,200
"58","CityHall","HipHop",32,26,832,982,-150
"59","CityHall","HipHop",32,28,896,996,-100
"60","CityHall","HipHop",32,34,1088,1038,50
"61","CityHall","HipHop",32,30,960,1010,-50
"62","CityHall","HipHop",32,20,640,940,-300
"63","CityHall","HipHop",32,22,704,954,-250
"64","CityHall","HipHop",32,47,1504,1129,375
"65","CityHall","HipHop",32,25,800,975,-175
"66","CityHall","HipHop",32,16,512,912,-400
"67","CityHall","HipHop",32,35,1120,1045,75
"68","CityHall","HipHop",32,42,1344,1094,250
"69","CityHall","HipHop",32,28,896,996,-100
"70","CityHall","HipHop",32,20,640,940,-300
"71","CityHall","HipHop",32,37,1184,1059,125
"72","CityHall","HipHop",32,29,928,1003,-75
"73","CityHall","HipHop",32,29,928,1003,-75
"74","CityHall","HipHop",32,42,1344,1094,250
"75","CityHall","HipHop",32,34,1088,1038,50
"76","CityHall","HipHop",32,32,1024,1024,0
"77","CityHall","HipHop",32,27,864,989,-125
"78","CityHall","HipHop",32,31,992,1017,-25
"79","CityHall","HipHop",32,18,576,926,-350
"80","CityHall","HipHop",32,19,608,933,-325
"81","CityHall","HipHop",32,19,608,933,-325
"82","CityHall","HipHop",32,35,1120,1045,75
"83","CityHall","HipHop",32,24,768,968,-200
"84","CityHall","HipHop",32,17,544,919,-375
"85","CityHall","HipHop",32,42,1344,1094,250
"86","CityHall","HipHop",32,19,608,933,-325
"87","CityHall","HipHop",32,4,128,828,-700
"88","Business","HipHop",32,24,768,968,-200
"89","Park","Alternative",32,44,1408,1108,300
"90","Park","Alternative",28,59,1652,1213,439
"91","Park","Alternative",35,38,1330,1066,264
"92","Park","Alternative",35,50,1750,1150,600
"93","Park","Alternative",35,50,1750,1150,600
"94","Park","Alternative",35,34,1190,1038,152
"95","Park","Alternative",35,35,1225,1045,180
